Delay,Tasks,STasks,OS_Threads,Execution_Time_sec,Warmup_sec,cumulative,phases,objects,pending_accesses,pending_misses,stack_recycles,stack_unbinds,stolen_from_pending,stolen_from_staged,stolen_to_pending,stolen_to_staged,task_duration,task_overhead,phase_duration,phase_overhead,resident,virtual,TOT_CYC,TOT_INS,L2_TCM,L2_TCA,L3_TCM,L3_TCA,idle_rate
1, 10000000, 0, 1, 17.506991108, 1.484843048, 10000020, 10000027, 130, 20200051, 10200012, 9999902, 1100006, 0, 0, 0, 0, 1267, 478, 1267, 478, 1305260032, 1435717632, 64469645415, 83305706684, 119611378, 302634234, 5532685, 119611533, 2740
1, 10000000, 0, 1, 17.539279142, 1.480813004, 10000020, 10000027, 130, 20200051, 10200012, 9999902, 1100006, 0, 0, 0, 0, 1266, 481, 1266, 481, 1305260032, 1435717632, 64225458109, 82990091180, 117721252, 302119984, 5302781, 117721398, 2754
1, 10000000, 0, 1, 17.494452797, 1.487006614, 10000020, 10000027, 130, 20200051, 10200012, 9999902, 1100006, 0, 0, 0, 0, 1265, 476, 1265, 476, 1305268224, 1435717632, 64430298123, 83309567925, 116998427, 300802291, 5493996, 116998585, 2737
1, 10000000, 0, 1, 17.496476004, 1.476265827, 10000020, 10000027, 130, 20200051, 10200012, 9999902, 1100006, 0, 0, 0, 0, 1265, 478, 1265, 478, 1305268224, 1435713536, 64436042756, 83316670655, 116715908, 300346079, 5435232, 116716052, 2745
1, 10000000, 0, 1, 17.465297587, 1.477372401, 10000020, 10000027, 130, 20200051, 10200012, 9999902, 1100006, 0, 0, 0, 0, 1267, 475, 1267, 475, 1305272320, 1435734016, 64315007585, 83321798224, 118558877, 302012324, 5595634, 118559039, 2728
1, 10000000, 0, 1, 17.491175477, 1.47607009, 10000020, 10000027, 130, 20200051, 10200012, 9999902, 1100006, 0, 0, 0, 0, 1263, 477, 1263, 477, 1305268224, 1435717632, 64406330389, 83310968513, 115802061, 301063304, 5336392, 115802179, 2742
1, 10000000, 0, 1, 17.490469443, 1.476203804, 10000020, 10000027, 130, 20200051, 10200012, 9999902, 1100006, 0, 0, 0, 0, 1266, 478, 1266, 478, 1305268224, 1435713536, 64405228837, 83293784324, 117541292, 301891980, 5431225, 117541439, 2740
1, 10000000, 0, 1, 17.502898171, 1.47468207, 10000020, 10000027, 130, 20200051, 10200012, 9999902, 1100006, 0, 0, 0, 0, 1263, 478, 1263, 478, 1305284608, 1435729920, 64462105178, 83341257413, 116979386, 302488717, 5280219, 116979546, 2748
1, 10000000, 0, 1, 17.474939152, 1.473620416, 10000020, 10000027, 130, 20200051, 10200012, 9999902, 1100006, 0, 0, 0, 0, 1263, 476, 1263, 476, 1305268224, 1435717632, 64357545400, 83313860415, 116312077, 300174613, 5376741, 116312218, 2737
1, 10000000, 0, 1, 17.480774291, 1.48428664, 10000020, 10000027, 130, 20200051, 10200012, 9999902, 1100006, 0, 0, 0, 0, 1266, 475, 1266, 475, 1305260032, 1435713536, 64374162149, 83316080102, 119955397, 300581678, 5530972, 119955549, 2731
