Delay,Tasks,STasks,OS_Threads,Execution_Time_sec,Warmup_sec,cumulative,phases,objects,pending_accesses,pending_misses,stack_recycles,stack_unbinds,stolen_from_pending,stolen_from_staged,stolen_to_pending,stolen_to_staged,task_duration,task_overhead,phase_duration,phase_overhead,resident,virtual,TOT_CYC,TOT_INS,L2_TCM,L2_TCA,L3_TCM,L3_TCA,idle_rate
1, 10000000, 0, 4, 6.619905561, 1.552872741, 10000047, 10000203, 781, 20201554, 10266941, 9999277, 199787, 65607, 8601, 65606, 8601, 1778, 856, 1778, 856, 1307127808, 1463865344, 90711649481, 81935844771, 233471281, 442989341, 75233650, 233470334, 3251
1, 10000000, 0, 4, 6.572400877, 1.594865193, 9992447, 9992623, 782, 20185425, 10269457, 9991982, 213597, 76674, 4900, 76672, 5000, 1793, 827, 1793, 827, 1307783168, 1464930304, 89938609420, 81931930126, 238020541, 442908760, 74540743, 238000043, 3157
1, 10000000, 0, 4, 6.40729001, 1.574285736, 10000048, 10000208, 781, 20201514, 10211050, 9999280, 212448, 9794, 4802, 9796, 4802, 1733, 817, 1733, 817, 1308057600, 1464930304, 87433680528, 82286124958, 228706594, 438502611, 63021640, 228708254, 3204
1, 10000000, 0, 4, 6.565181959, 1.552569067, 9929064, 9929239, 783, 20057290, 10168618, 9928381, 212156, 40740, 3601, 40711, 3601, 1780, 855, 1780, 855, 1307000832, 1464041472, 89864131384, 81506838507, 237110652, 443720775, 74604679, 237139512, 3246
1, 10000000, 0, 4, 6.56952304, 1.542822251, 9939518, 9939636, 782, 20078186, 10198201, 9938884, 208251, 59666, 6202, 59665, 6202, 1774, 860, 1774, 860, 1308065792, 1464913920, 89745386974, 81631033198, 238600181, 444761687, 78845293, 238580758, 3265
1, 10000000, 0, 4, 6.414644429, 1.563505524, 9976101, 9976341, 777, 20152257, 10201724, 9975596, 222794, 25815, 7801, 25813, 7601, 1748, 815, 1748, 815, 1308119040, 1464918016, 87479612319, 82354866147, 236581236, 446060686, 58313128, 236618854, 3181
1, 10000000, 0, 4, 6.489285496, 1.546018504, 10000045, 10000213, 780, 20201398, 10223837, 9999280, 250353, 22662, 10701, 22661, 10701, 1744, 846, 1744, 846, 1306583040, 1462956032, 88714072689, 82286751090, 238010708, 444785632, 65292560, 238009624, 3267
1, 10000000, 0, 4, 6.414525254, 1.561346162, 10000045, 10000229, 782, 20201463, 10265136, 9999278, 224686, 63931, 2400, 63930, 2400, 1744, 811, 1744, 811, 1306492928, 1462816768, 87854590455, 82199581790, 234664851, 439243636, 62321080, 234661957, 3175
1, 10000000, 0, 4, 6.422992274, 1.56464444, 9989472, 9989644, 782, 20179346, 10224986, 9988779, 225145, 35495, 9501, 35587, 9501, 1744, 816, 1744, 816, 1306755072, 1463885824, 87913858726, 82021738613, 234362302, 442546229, 62354434, 234394137, 3187
1, 10000000, 0, 4, 6.478998226, 1.625355447, 10000044, 10000151, 782, 20201501, 10250628, 9999276, 225246, 49301, 4623, 49299, 4623, 1747, 838, 1747, 838, 1302921216, 1459671040, 88796244838, 82048508890, 232371333, 438317357, 68602845, 232373186, 3243
