Delay,Tasks,STasks,OS_Threads,Execution_Time_sec,Warmup_sec,cumulative,phases,objects,pending_accesses,pending_misses,stack_recycles,stack_unbinds,stolen_from_pending,stolen_from_staged,stolen_to_pending,stolen_to_staged,task_duration,task_overhead,phase_duration,phase_overhead,resident,virtual,TOT_CYC,TOT_INS,L2_TCM,L2_TCA,L3_TCM,L3_TCA,idle_rate
1, 10000000, 0, 16, 3.868279708, 1.481125395, 9361423, 9362105, 3183, 18917171, 9592461, 9358680, 47522, 37455, 15615, 37452, 15615, 3687, 2889, 3687, 2889, 1320960000, 1581752320, 195192392964, 77735743285, 362026570, 568911899, 119557215, 362202526, 4393
1, 10000000, 0, 16, 3.858016031, 1.46724203, 9358143, 9358886, 3183, 18910739, 9595982, 9355419, 50924, 43885, 10114, 43889, 10114, 3684, 2885, 3684, 2885, 1321177088, 1581764608, 194907813850, 77379966381, 361321997, 567274698, 122110315, 361344977, 4392
1, 10000000, 0, 16, 3.861281752, 1.463306963, 9307706, 9308385, 3184, 18808634, 9551734, 9304904, 47431, 51522, 6214, 51621, 6314, 3679, 2936, 3678, 2936, 1320972288, 1580720128, 193073482947, 77732480194, 366646589, 573755453, 120344891, 366861524, 4439
1, 10000000, 0, 16, 3.833243479, 1.462309559, 9402950, 9403641, 3184, 19001661, 9643044, 9400420, 47547, 44853, 8213, 44870, 8213, 3652, 2855, 3652, 2855, 1321050112, 1581764608, 193345674341, 78259782699, 360855645, 566915703, 120756437, 360725078, 4387
1, 10000000, 0, 16, 3.880642992, 1.480446607, 9453814, 9454430, 3184, 19103832, 9685316, 9451096, 47698, 35792, 9361, 35790, 9361, 3407, 2686, 3407, 2686, 1321025536, 1581748224, 196170125442, 78342702082, 360277440, 567320896, 121417364, 360481364, 4408
1, 10000000, 0, 16, 3.884110488, 1.471576354, 9445441, 9446119, 3184, 19086789, 9680098, 9442685, 44573, 39472, 2907, 39473, 2907, 3653, 2899, 3653, 2898, 1321078784, 1581748224, 196083562147, 78476336066, 362624419, 569348891, 120988716, 362875917, 4424
1, 10000000, 0, 16, 3.855301645, 1.476911153, 9396927, 9397563, 3184, 18989565, 9622184, 9394188, 47680, 31610, 3412, 31615, 3412, 3670, 2865, 3670, 2865, 1320759296, 1580736512, 194788796888, 77919030392, 361395581, 566018805, 122299183, 361251800, 4384
1, 10000000, 0, 16, 3.845165132, 1.455129876, 9331741, 9332550, 3184, 18858514, 9569756, 9329862, 44599, 44625, 10801, 44868, 10801, 3673, 2889, 3673, 2889, 1321521152, 1581789184, 193283183988, 77541584881, 363024952, 568314413, 123480600, 363405849, 4402
1, 10000000, 0, 16, 3.852173111, 1.464787898, 9314752, 9315421, 3184, 18823173, 9558881, 9311890, 46832, 51202, 15032, 51199, 15032, 3681, 2905, 3681, 2905, 1321107456, 1581748224, 194407143935, 77292147150, 358661780, 561906937, 119297691, 358655667, 4410
1, 10000000, 0, 16, 3.847608954, 1.450400045, 9353418, 9354157, 3181, 18900532, 9609948, 9350929, 53666, 63900, 16210, 63945, 16210, 3659, 2898, 3659, 2898, 1320738816, 1580720128, 194188345017, 77746894671, 360601283, 567551359, 123079939, 360576733, 4420
2, 5000000, 0, 16, 2.006830109, 0.733212861, 4837172, 4837820, 3182, 9778660, 4967147, 4835169, 28906, 25155, 1712, 25157, 1712, 4580, 2026, 4579, 2026, 677232640, 937619456, 100756976953, 61791237391, 181704652, 287308000, 58631897, 181741421, 3067
2, 5000000, 0, 16, 2.026962499, 0.744363016, 4876881, 4877599, 3183, 9858769, 5005696, 4874108, 26117, 24407, 5250, 24410, 5250, 4594, 2030, 4593, 2030, 676872192, 937582592, 102277133771, 62204363029, 183735540, 290527038, 57430258, 183729372, 3064
2, 5000000, 0, 16, 2.022125273, 0.731505348, 4897264, 4897886, 3184, 9899927, 5021141, 4894459, 24778, 19167, 3216, 19163, 3216, 4569, 2012, 4569, 2012, 677093376, 937562112, 101624613479, 62441675195, 181930300, 289735929, 58194827, 181945824, 3057
2, 5000000, 0, 16, 2.026184081, 0.73510708, 4883285, 4884048, 3184, 9870642, 5002354, 4880528, 24849, 16017, 1924, 16008, 1924, 4564, 2053, 4563, 2052, 677023744, 937562112, 101790955058, 62339117624, 183614090, 290098476, 59159390, 183625002, 3102
2, 5000000, 0, 16, 2.013232788, 0.735202716, 4840922, 4841680, 3186, 9785876, 4970761, 4838302, 23080, 26618, 444, 26615, 444, 4583, 2032, 4583, 2032, 676954112, 937603072, 101424885383, 61792254559, 183570303, 289712904, 59213318, 183651131, 3072
2, 5000000, 0, 16, 2.026601403, 0.740802769, 4882094, 4882835, 3181, 9869096, 4998725, 4879607, 27663, 12460, 3411, 12471, 3411, 4574, 2038, 4573, 2037, 677277696, 937582592, 102050657484, 62248658580, 182114580, 288446584, 58402471, 182007794, 3082
2, 5000000, 0, 16, 2.011132227, 0.728192204, 4889839, 4890558, 3184, 9885512, 5014892, 4887205, 23121, 19981, 677, 19981, 677, 4539, 1996, 4539, 1996, 677253120, 937566208, 100959820464, 62428371215, 187081600, 293982797, 57593179, 186836708, 3054
2, 5000000, 0, 16, 2.008290986, 0.72940779, 4830147, 4830935, 3184, 9764410, 4955633, 4827271, 22536, 21969, 4115, 21972, 4115, 4585, 2040, 4584, 2040, 677134336, 937562112, 100924160508, 61708459669, 181648781, 287657539, 59045424, 181567119, 3079
2, 5000000, 0, 16, 2.029186495, 0.734394817, 4856644, 4857414, 3183, 9817745, 5000206, 4854010, 26011, 39930, 4872, 39928, 4872, 4578, 2079, 4578, 2079, 677101568, 937582592, 101399314588, 62043321537, 184755553, 291072489, 59373270, 184744449, 3123
2, 5000000, 0, 16, 2.016795099, 0.725201793, 4871508, 4872266, 3182, 9847621, 5010732, 4868715, 27673, 35445, 8418, 35455, 8418, 4568, 2031, 4568, 2031, 677195776, 937566208, 101370473197, 62171956910, 184691387, 290419604, 60247948, 184697759, 3078
4, 2500000, 0, 16, 1.238875097, 0.367103187, 2475024, 2475679, 3185, 5006806, 2538205, 2472408, 11722, 7128, 464, 7128, 464, 6510, 1458, 6509, 1458, 355057664, 615505920, 62240838730, 53842380618, 90368805, 145082912, 25646011, 90542889, 1830
4, 2500000, 0, 16, 1.249382927, 0.367152232, 2496638, 2497358, 3184, 5050478, 2563738, 2493624, 12614, 10701, 212, 10705, 212, 6503, 1478, 6501, 1478, 355057664, 615473152, 62750916804, 54290941320, 89502755, 143851969, 25907511, 89711300, 1852
4, 2500000, 0, 16, 1.257705904, 0.365328298, 2499660, 2500322, 3183, 5056495, 2572175, 2496737, 12640, 16034, 1163, 16070, 1576, 6516, 1508, 6514, 1507, 355135488, 615505920, 63000104194, 54288835152, 90140956, 145109198, 26852377, 90153498, 1879
4, 2500000, 0, 16, 1.249168848, 0.364893486, 2495926, 2496643, 3181, 5048935, 2562082, 2492912, 14207, 9838, 1163, 9844, 1163, 6501, 1482, 6499, 1482, 355168256, 615473152, 62630646363, 54224662309, 89662972, 144878746, 25965864, 89356390, 1857
4, 2500000, 0, 16, 1.248677236, 0.368385018, 2491153, 2491769, 3185, 5040034, 2560772, 2488242, 11805, 12545, 1263, 12546, 1263, 6518, 1468, 6517, 1468, 355057664, 615469056, 62802517265, 54184196886, 89268492, 143982614, 25452942, 89096905, 1839
4, 2500000, 0, 16, 1.248821592, 0.371251056, 2482242, 2482933, 3181, 5021437, 2544446, 2479593, 14904, 6009, 135, 6007, 135, 6522, 1493, 6520, 1492, 355082240, 615473152, 62325263304, 53987200767, 89260403, 145230953, 26647465, 89152617, 1863
4, 2500000, 0, 16, 1.248172092, 0.369655112, 2494000, 2494706, 3183, 5045265, 2559833, 2491505, 13385, 9582, 1666, 9583, 1766, 6515, 1464, 6514, 1463, 355061760, 615469056, 62727063970, 54264746841, 90425535, 145257702, 26172320, 90112137, 1834
4, 2500000, 0, 16, 1.250389758, 0.366780441, 2480920, 2481548, 3182, 5019053, 2541305, 2478307, 14118, 3836, 392, 3836, 392, 6510, 1512, 6509, 1512, 355041280, 615469056, 62700278501, 53952723815, 89371838, 144332275, 27242597, 89324127, 1885
4, 2500000, 0, 16, 1.234293683, 0.364518544, 2476387, 2477165, 3182, 5009451, 2544230, 2473692, 13265, 11954, 361, 11956, 361, 6503, 1440, 6501, 1439, 354992128, 615456768, 62010469112, 53943137480, 89146977, 143901206, 25112629, 88963327, 1813
4, 2500000, 0, 16, 1.245919274, 0.370636456, 2483903, 2484616, 3184, 5024491, 2552505, 2481040, 12550, 12693, 946, 12700, 946, 6521, 1472, 6519, 1472, 355049472, 615469056, 62585350663, 53987353812, 88466390, 143434243, 26526759, 88354538, 1842
5, 2000000, 0, 16, 1.117449392, 0.291871426, 2000192, 2000867, 3184, 4047773, 2055441, 1997017, 10123, 8582, 842, 8583, 842, 7468, 1423, 7466, 1423, 290639872, 551047168, 56112163694, 52305608279, 71641943, 116318333, 20024507, 71637065, 1602
5, 2000000, 0, 16, 1.119358326, 0.29612881, 1999666, 2000390, 3185, 4048325, 2057518, 1996721, 9483, 9711, 911, 9722, 911, 7488, 1436, 7486, 1436, 290201600, 551051264, 56226020035, 52324239609, 71950292, 116461397, 19916631, 71910570, 1609
5, 2000000, 0, 16, 1.114109805, 0.292933341, 1989836, 1990528, 3182, 4026465, 2043219, 1987005, 10639, 7304, 1455, 7306, 1455, 7473, 1436, 7470, 1436, 290332672, 551063552, 56024704856, 52120371248, 71207598, 115626007, 20085103, 71317481, 1613
5, 2000000, 0, 16, 1.116473279, 0.292464023, 1994648, 1995326, 3184, 4036209, 2051191, 1991818, 10088, 10216, 916, 10211, 916, 7490, 1431, 7488, 1430, 290639872, 551051264, 56265245214, 52210290301, 70771317, 115293156, 20553905, 70579170, 1604
5, 2000000, 0, 16, 1.120490783, 0.297117651, 1999386, 2000081, 3183, 4046180, 2054173, 1996287, 10123, 8001, 815, 8005, 815, 7494, 1426, 7492, 1426, 290603008, 551051264, 56415679129, 52284803586, 70723427, 115346486, 20493131, 70656499, 1599
5, 2000000, 0, 16, 1.122888216, 0.295058195, 1999446, 2000151, 3184, 4046438, 2054972, 1996325, 10107, 8762, 537, 8766, 537, 7495, 1452, 7492, 1452, 290627584, 551051264, 56410104873, 52284927797, 70836612, 115289966, 20199691, 70836975, 1624
5, 2000000, 0, 16, 1.124191163, 0.297910288, 1992723, 1993417, 3181, 4032407, 2050241, 1989904, 11943, 11359, 1211, 11359, 1211, 7529, 1468, 7527, 1468, 290463744, 551051264, 56501873125, 52225418792, 71162175, 116017199, 21587987, 71047012, 1632
5, 2000000, 0, 16, 1.114950265, 0.297910064, 1990037, 1990737, 3184, 4026962, 2042151, 1987328, 10102, 5971, 709, 5971, 709, 7483, 1431, 7480, 1431, 290623488, 551051264, 55999921425, 52078378379, 70537323, 115623964, 20825310, 70565789, 1606
