Delay,Tasks,STasks,OS_Threads,Execution_Time_sec,Warmup_sec,cumulative,phases,objects,pending_accesses,pending_misses,stack_recycles,stack_unbinds,stolen_from_pending,stolen_from_staged,stolen_to_pending,stolen_to_staged,task_duration,task_overhead,phase_duration,phase_overhead,resident,virtual,TOT_CYC,TOT_INS,L2_TCM,L2_TCA,L3_TCM,L3_TCA,idle_rate
1, 10000000, 0, 2, 10.318415972, 1.139447757, 9772019, 9772070, 373, 19739587, 9976894, 9771851, 553892, 9410, 24500, 9410, 24500, 1388, 717, 1388, 717, 1289621504, 1429045248, 73809769223, 82055911688, 153255301, 334239958, 45062968, 153247614, 3407
1, 10000000, 0, 2, 11.196212695, 1.633352671, 9846531, 9846575, 372, 19890101, 10049517, 9846354, 548153, 6039, 7900, 6039, 7900, 1512, 750, 1512, 750, 1294454784, 1433391104, 80211920676, 82182683601, 174567757, 355413818, 65851480, 174566336, 3317
1, 10000000, 0, 2, 10.900925731, 1.141097608, 9806068, 9806064, 371, 19808256, 10016808, 9805759, 581171, 14600, 26800, 14600, 26800, 1476, 737, 1476, 737, 1289310208, 1429041152, 77882214678, 81381381896, 165815540, 345131606, 61064188, 165810932, 3330
1, 10000000, 0, 2, 10.76476058, 1.140188119, 9864847, 9864887, 370, 19927089, 10081671, 9864667, 607436, 19521, 41800, 19521, 41800, 1382, 787, 1382, 787, 1289981952, 1428770816, 76993830082, 82762467409, 164844753, 339502367, 54180426, 164845480, 3630
1, 10000000, 0, 2, 10.610703547, 1.593500936, 9864101, 9864120, 368, 19925545, 10077577, 9863804, 655814, 16149, 27700, 16149, 27700, 1402, 739, 1402, 739, 1292226560, 1431543808, 75854937657, 82811815946, 158943889, 337925584, 51062695, 158952689, 3453
1, 10000000, 0, 2, 11.150805524, 1.185845504, 9786716, 9786742, 374, 19769208, 9986632, 9786369, 500985, 4173, 11000, 4173, 11000, 1497, 771, 1497, 771, 1290690560, 1430360064, 80116848488, 81652520048, 170737211, 349057082, 64613476, 170738132, 3399
1, 10000000, 0, 2, 10.898045544, 1.555113959, 9920312, 9920349, 373, 20039155, 10131601, 9920081, 605156, 12834, 21500, 12834, 21500, 1398, 789, 1398, 789, 1296162816, 1435484160, 77498072719, 83166775024, 163927369, 338599116, 54836501, 163930166, 3608
1, 10000000, 0, 2, 11.416680472, 1.540834415, 9985815, 9985817, 371, 20171348, 10196748, 9985498, 553459, 11207, 15700, 11207, 15800, 1525, 753, 1525, 753, 1301991424, 1442041856, 81652594777, 83119136165, 176541768, 366845687, 68986774, 176542989, 3307
1, 10000000, 0, 2, 10.409436203, 1.54986461, 9964943, 9964978, 375, 20129301, 10190299, 9964960, 536675, 26030, 70600, 26030, 70700, 1546, 756, 1546, 756, 1296642048, 1436266496, 73726359245, 83535208835, 151357131, 329912505, 42117566, 151361793, 3284
1, 10000000, 0, 2, 10.581481913, 1.239764259, 9844365, 9844364, 378, 19885617, 10047860, 9844063, 501431, 6581, 11800, 6581, 11800, 1393, 747, 1393, 747, 1293840384, 1435353088, 75346509770, 82573770259, 161151875, 338746425, 52598598, 161151847, 3490
2, 5000000, 0, 2, 8.067327147, 0.562878542, 5000028, 5000049, 376, 10101094, 5115552, 4999655, 281798, 14523, 30800, 14523, 30800, 2466, 746, 2466, 746, 656343040, 795471872, 58932996493, 67473201843, 87563977, 179762306, 33769016, 87564392, 2324
2, 5000000, 0, 2, 7.922822772, 0.772446297, 5000026, 5000061, 373, 10101188, 5101343, 4999662, 250057, 230, 200, 230, 200, 2423, 735, 2423, 735, 661196800, 800718848, 57601602817, 67707634479, 82035927, 172232515, 26476498, 82033335, 2328
2, 5000000, 0, 2, 7.730167714, 0.775014684, 5000025, 5000044, 373, 10101034, 5114328, 4999654, 281673, 13358, 30200, 13358, 30200, 2374, 702, 2374, 702, 656560128, 795623424, 56404059556, 67629064200, 78152080, 165403654, 23740588, 78153694, 2282
2, 5000000, 0, 2, 8.192842318, 0.806200743, 4998464, 4998488, 372, 10096999, 5100499, 4998261, 262323, 2021, 6600, 2021, 6700, 2531, 733, 2531, 733, 661487616, 800989184, 59542367012, 67514567398, 87341937, 180560279, 32809068, 87343305, 2245
2, 5000000, 0, 2, 8.065647703, 0.616288999, 5000033, 5000051, 373, 10101034, 5111585, 4999650, 267202, 10617, 22229, 10617, 22229, 2162, 746, 2162, 746, 657362944, 796655616, 58853433262, 67659475056, 86616136, 174389123, 31702999, 86615024, 2565
2, 5000000, 0, 2, 7.852539633, 0.669209536, 5000026, 5000047, 370, 10101054, 5108723, 4999662, 265446, 7729, 14930, 7729, 14930, 2400, 725, 2400, 725, 658821120, 800735232, 56748857955, 67602616312, 78474138, 167721994, 23644925, 78475412, 2320
2, 5000000, 0, 2, 7.848026134, 0.571059313, 4970672, 4970703, 376, 10040826, 5079083, 4970449, 278638, 8993, 18300, 8993, 18300, 2653, 842, 2653, 842, 656318464, 797589504, 56571731513, 66627504782, 80925406, 169498530, 26289503, 80928060, 2410
2, 5000000, 0, 2, 8.07297502, 0.803232081, 4987529, 4987549, 368, 10074864, 5098319, 4987370, 355222, 11033, 23900, 11032, 24000, 2495, 732, 2495, 732, 657350656, 796655616, 58826203181, 67342263368, 86310745, 177699427, 31689574, 86311069, 2269
2, 5000000, 0, 2, 7.533525829, 0.780608659, 4903736, 4903762, 373, 9905689, 5002498, 4903760, 249820, 610, 1500, 610, 1500, 2386, 670, 2386, 670, 657203200, 796536832, 54712183186, 66384374233, 75629987, 162150857, 21458988, 75635351, 2193
2, 5000000, 0, 2, 7.832296239, 0.698825927, 5000024, 5000041, 369, 10101024, 5107140, 4999657, 227300, 6180, 12626, 6180, 12626, 2405, 719, 2405, 719, 659771392, 798621696, 56934987358, 67655571519, 78732842, 168202979, 23672106, 78733116, 2301
4, 2500000, 0, 2, 6.265673415, 0.385670292, 2480857, 2480889, 373, 5011517, 2531494, 2480653, 131820, 895, 3300, 895, 3400, 4369, 658, 4369, 658, 338165760, 477847552, 46415408590, 59098951009, 38472578, 82310486, 10777250, 38475513, 1308
4, 2500000, 0, 2, 6.372065432, 0.397370449, 2500026, 2500041, 366, 5051122, 2557596, 2499661, 164633, 6536, 12000, 6536, 12000, 4883, 766, 4883, 766, 338219008, 477978624, 47205075197, 59549530179, 40159098, 85029834, 12379909, 40159737, 1356
4, 2500000, 0, 2, 6.432935765, 0.260637238, 2487663, 2487674, 373, 5025091, 2540573, 2487375, 132851, 3149, 8500, 3149, 8500, 4441, 712, 4441, 712, 337940480, 477847552, 47691140097, 59191035046, 42003795, 86210809, 14613241, 42003267, 1382
4, 2500000, 0, 2, 6.370646931, 0.309630874, 2500029, 2500050, 374, 5051001, 2554652, 2499666, 120180, 3717, 7400, 3717, 7400, 4386, 690, 4386, 690, 338485248, 477573120, 47207251307, 59568958001, 39465570, 83983185, 11786531, 39465023, 1359
4, 2500000, 0, 2, 6.318030666, 0.298556231, 2494329, 2494363, 378, 5038603, 2546788, 2494066, 120401, 2555, 8600, 2555, 8600, 4382, 665, 4382, 665, 338530304, 477458432, 46739249856, 59408083470, 38247464, 84570341, 10635897, 38245630, 1318
4, 2500000, 0, 2, 6.330669212, 0.288517143, 2500028, 2500060, 375, 5050998, 2554890, 2499669, 127119, 3959, 10434, 3959, 10434, 4375, 669, 4375, 669, 338378752, 477454336, 46890775000, 59547853178, 37700044, 82704119, 10320148, 37700397, 1326
